subject,block,trial,mu1,mu2,choice,reward,RT
2,13,9,12,2,1,11,539
2,13,10,12,2,1,14,362
2,14,1,6,2,1,7,6542
2,14,2,6,2,2,3,358
2,14,3,6,2,1,5,280
2,14,4,6,2,2,3,326
2,14,5,6,2,1,6,337
2,14,6,6,2,1,7,361
2,14,7,6,2,1,4,836
2,14,8,6,2,1,4,392
2,14,9,6,2,1,8,2157
2,14,10,6,2,1,5,387
2,15,1,6,-9,2,-10,1880
2,15,2,6,-9,1,5,396
2,15,3,6,-9,1,7,319
2,15,4,6,-9,1,6,388
2,15,5,6,-9,1,4,326
2,15,6,6,-9,1,7,325
2,15,7,6,-9,1,6,367
2,15,8,6,-9,1,6,383
2,15,9,6,-9,1,7,366
2,15,10,6,-9,1,6,406
2,16,1,5,-3,1,5,704
2,16,2,5,-3,2,-4,364
2,16,3,5,-3,1,7,1951
2,16,4,5,-3,1,6,367
2,16,5,5,-3,1,6,352
2,16,6,5,-3,1,5,336
2,16,7,5,-3,1,8,374
2,16,8,5,-3,1,4,413
2,16,9,5,-3,1,5,318
2,16,10,5,-3,1,7,356
2,17,1,-2,11,2,10,962
2,17,2,-2,11,1,-3,459
2,17,3,-2,11,2,10,320
2,17,4,-2,11,2,11,270
2,17,5,-2,11,2,12,326
2,17,6,-2,11,2,10,287
2,17,7,-2,11,2,10,340
2,17,8,-2,11,2,11,350
2,17,9,-2,11,2,9,282
2,17,10,-2,11,2,11,358
2,18,1,-1,-9,2,-9,671
2,18,2,-1,-9,1,-2,374
2,18,3,-1,-9,1,0,397
2,18,4,-1,-9,1,-2,335
2,18,5,-1,-9,1,-2,376
2,18,6,-1,-9,1,0,348
2,18,7,-1,-9,1,-1,349
2,18,8,-1,-9,2,-8,385
2,18,9,-1,-9,1,-1,356
2,18,10,-1,-9,1,1,374
2,19,1,18,-6,1,19,2858
2,19,2,18,-6,1,19,366
2,19,3,18,-6,1,18,337
2,19,4,18,-6,1,15,323
2,19,5,18,-6,1,17,416
2,19,6,18,-6,1,18,380
2,19,7,18,-6,1,17,385
2,19,8,18,-6,1,18,384
2,19,9,18,-6,1,18,352
2,19,10,18,-6,1,19,382
2,20,1,15,-3,1,16,658
2,20,2,15,-3,1,15,516
2,20,3,15,-3,1,15,312
2,20,4,15,-3,1,15,318
2,20,5,15,-3,1,15,328
2,20,6,15,-3,1,15,329
2,20,7,15,-3,1,14,327
2,20,8,15,-3,1,17,343
2,20,9,15,-3,1,16,351
2,20,10,15,-3,1,15,337
3,1,1,10,9,1,9,1559
3,1,2,10,9,2,10,816
3,1,3,10,9,2,9,861
3,1,4,10,9,1,9,578
3,1,5,10,9,2,10,473
3,1,6,10,9,2,9,444
